1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
121	0.069038	108.000000	2.272239	0.004269	79.5
122	0.070396	107.200000	2.286418	0.003662	76.7
123	0.068846	106.400000	2.300776	0.004162	75.6
124	0.069092	105.600000	2.315315	0.005274	80.8
125	0.067224	104.800000	2.330038	0.008867	72.9
126	0.069309	105.800000	2.311663	0.014540	75.2
127	0.071562	106.800000	2.293574	0.021533	71.9
128	0.069170	107.800000	2.275767	0.013559	77.5
129	0.070578	108.800000	2.258234	0.006980	74.8
130	0.068258	109.800000	2.240970	0.010236	74.7
131	0.069102	110.800000	2.223967	0.017822	75.5
132	0.068872	111.800000	2.207220	0.013440	76.9
133	0.068507	112.800000	2.190724	0.008619	77.1
134	0.071248	113.800000	2.174472	0.014077	78.6
135	0.068897	114.800000	2.158460	0.019896	75.8
136	0.070760	115.800000	2.142681	0.013508	74.2
137	0.070106	116.800000	2.127132	0.006590	73.6
138	0.068118	117.800000	2.111807	0.010602	82.3
139	0.069734	118.800000	2.096701	0.017088	78.0
140	0.069494	119.800000	2.081810	0.013128	76.5
141	0.071868	120.800000	2.067128	0.007887	73.5
142	0.070461	121.800000	2.052653	0.014205	75.8
143	0.070321	122.800000	2.038378	0.020918	74.6
144	0.064804	123.800000	2.024301	0.011494	76.1
145	0.065913	124.800000	2.010417	0.004911	74.6
146	0.067353	124.000000	2.021509	0.007959	75.8
147	0.065619	125.000000	2.007663	0.013521	76.7
148	0.066527	126.000000	1.994006	0.018563	73.6
149	0.066233	127.000000	1.980533	0.012366	74.7
150	0.066768	128.000000	1.967240	0.004649	74.3
151	0.066816	129.000000	1.954125	0.004718	73.6
152	0.062181	128.200000	1.964603	0.008929	74.4
153	0.063106	129.200000	1.951523	0.012405	74.9
154	0.066327	130.200000	1.938617	0.016667	76.1
155	0.065560	131.200000	1.925879	0.012291	79.2
156	0.062615	132.200000	1.913308	0.008083	79.1
157	0.066530	133.200000	1.900900	0.012889	78.0
158	0.062259	134.200000	1.888652	0.017928	76.8
159	0.066755	135.200000	1.876561	0.012916	75.1
160	0.060129	136.200000	1.864624	0.005347	77.5
161	0.065351	137.200000	1.852837	0.008280	73.0
162	0.064775	138.200000	1.841199	0.016269	74.2
163	0.063942	139.200000	1.829705	0.012156	79.1
164	0.067322	140.200000	1.818355	0.004729	71.2
165	0.062484	141.200000	1.807144	0.007548	75.4
